match_id,home_team,away_team,st_home,goals_home,corners_home,st_away,goals_away,corners_away,st_avg,corners_avg,goals_avg,st_kpp,corner_kpp,goals_kpp,which_team,st_kpp_home,st_kpp_away,goals_kpp_home,goals_kpp_away,corner_kpp_home,corner_kpp_away,modified_result,final_result,home_kpp_score,away_kpp_score,normalized_home_kpp_score,normalized_away_kpp_score
72,Crystal Palace,Chelsea,0.444444444,0.333333333,0.6,0.555555556,0.666666667,0.4,0.555555556,0.4,0.666666667,0.740740741,0.481060606,0.833333333,Chelsea,0.563492064,0.740740741,0.533333333,0.833333333,0.387820513,0.481060606,0,-1,1.48464591,2.05513468,0.41941749559116,0.58058250440884
73,Everton,Aston Villa,0.75,1,0.428571429,0.25,0,0.571428571,0.75,0.428571429,1,0.617094017,0.391666667,0.633333333,Everton,0.617094017,0.212037037,0.633333333,0,0.391666667,0.227272727,1,1,1.642094017,0.439309764,0.788935828785256,0.211064171214744
74,Man City,Tottenham,0.631578947,0.8,0.428571429,0.368421053,0.2,0.571428571,0.631578947,0.428571429,0.8,0.695707071,0.867424242,0.722222222,Man City,0.695707071,0.390476191,0.722222222,0.5,0.867424242,0.493055556,1,1,2.285353535,1.383531747,0.622901333604576,0.377098666395424
75,Newcastle,Leicester,0.75,1,0.588235294,0.25,0,0.411764706,0.75,0.588235294,1,0.464814815,0.583333333,0.333333333,Newcastle,0.464814815,0.414285714,0.333333333,0.375,0.583333333,0.527777778,1,1,1.381481481,1.317063492,0.511935689351952,0.488064310648048
77,QPR,Liverpool,0.545454546,0.4,0.777777778,0.454545455,0.6,0.222222222,0.454545455,0.222222222,0.6,0.556138306,0.572222222,0.472222222,Liverpool,0.412457913,0.556138306,0.277777778,0.472222222,0.553030303,0.572222222,0,-1,1.243265994,1.60058275,0.437177257272583,0.562822742727417
78,Stoke,Swansea,0.375,0.666666667,0.375,0.625,0.333333333,0.625,0.625,0.625,0.333333333,0.37962963,0.391414141,0.333333333,Swansea,0.606481482,0.37962963,0.583333333,0.333333333,0.207070707,0.391414141,1,1,1.396885522,1.104377104,0.558472152216134,0.441527847783866
79,West Brom,Man United,0.222222222,0.5,0,0.777777778,0.5,1,0.222222222,0,0.5,0.637878788,0.590277778,0.777777778,West Brom,0.637878788,0.442857143,0.777777778,0.569444445,0.590277778,0.575163399,0,0,2.005934344,1.587464987,0.558227505274726,0.441772494725274
80,Liverpool,Hull,0.571428571,0.5,0.933333333,0.428571429,0.5,0.066666667,0.428571429,0.066666667,0.5,0.420745921,0.244755245,0.611111111,Hull,0.568764569,0.420745921,0.588888889,0.611111111,0.507407407,0.244755245,0,0,1.665060865,1.276612277,0.566025110413168,0.433974889586832
81,Southampton,Stoke,0.666666667,1,0.666666667,0.333333333,0,0.333333333,0.333333333,0.333333333,0,0.583333333,0.301767677,0.638888889,Stoke,0.721139971,0.583333333,0.555555556,0.638888889,0.484848485,0.301767677,1,1,1.761544012,1.523989899,0.536151523532396,0.463848476467604
82,Sunderland,Arsenal,0.375,0,0.5,0.625,1,0.5,0.375,0.5,0,0.402777778,0.696969697,0.416666667,Sunderland,0.402777778,0.430769231,0.416666667,0.333333333,0.696969697,0.75,0,-1,1.516414142,1.514102564,0.500381383477514,0.499618616522486
